,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_normalize_similarity,params_topK,system_attrs_fixed_params,state
0,0,0.024140174437830737,2023-12-08 12:24:29.394223,2023-12-08 12:24:35.712663,0 days 00:00:06.318440,0.8604387480969916,0.1537736651871471,True,46,"{'topK': 46, 'alpha': 0.8604387480969916, 'beta': 0.1537736651871471, 'normalize_similarity': True}",COMPLETE
1,1,0.013751851851851777,2023-12-08 12:24:35.713278,2023-12-08 12:25:03.722488,0 days 00:00:28.009210,0.3887857874234182,0.07403872245921228,False,3196,,COMPLETE
2,2,0.005526351686507945,2023-12-08 12:25:03.723166,2023-12-08 12:25:09.291903,0 days 00:00:05.568737,1.9376709561912877,0.2911271788129547,True,37,,COMPLETE
3,3,0.003489058366402135,2023-12-08 12:25:09.292508,2023-12-08 12:25:28.774321,0 days 00:00:19.481813,1.4178294257045663,0.2782646532468164,False,1050,,COMPLETE
4,4,0.01890468750000001,2023-12-08 12:25:28.774982,2023-12-08 12:25:53.812178,0 days 00:00:25.037196,0.7525867202707648,0.09269057963643271,True,2181,,COMPLETE
5,5,0.019977653769841272,2023-12-08 12:25:53.812746,2023-12-08 12:26:15.292169,0 days 00:00:21.479423,0.47586947144179614,0.04075966450225606,True,1443,,COMPLETE
6,6,0.007168969080687832,2023-12-08 12:26:15.292784,2023-12-08 12:26:35.853923,0 days 00:00:20.561139,0.2721361314123649,0.7466275347004236,False,1065,,COMPLETE
7,7,0.009844283234126961,2023-12-08 12:26:35.854732,2023-12-08 12:26:55.672548,0 days 00:00:19.817816,1.3639449659205873,0.3510683110867174,True,1042,,COMPLETE
8,8,0.0011854001322751315,2023-12-08 12:26:55.673325,2023-12-08 12:27:25.572999,0 days 00:00:29.899674,1.8627495876402784,0.709703114670648,False,4688,,COMPLETE
9,9,0.017234077380952346,2023-12-08 12:27:25.573602,2023-12-08 12:27:53.650686,0 days 00:00:28.077084,0.8700825771686311,0.07294626370968463,False,3181,,COMPLETE
10,10,0.022744088955026505,2023-12-08 12:27:53.651319,2023-12-08 12:27:59.817978,0 days 00:00:06.166659,0.001974439306058118,0.497056446576732,True,62,,COMPLETE
11,11,0.021123875661375722,2023-12-08 12:27:59.818547,2023-12-08 12:28:10.009461,0 days 00:00:10.190914,0.07101174674291033,0.5163204031258665,True,207,,COMPLETE
12,12,0.02189379546957676,2023-12-08 12:28:10.010066,2023-12-08 12:28:20.841707,0 days 00:00:10.831641,0.03528530483033421,0.47021928193414597,True,245,,COMPLETE
13,13,0.019578331679894243,2023-12-08 12:28:20.842410,2023-12-08 12:28:46.943994,0 days 00:00:26.101584,0.6839394673946995,0.18208448115137205,True,2148,,COMPLETE
14,14,0.0054582754629629755,2023-12-08 12:28:46.944509,2023-12-08 12:29:18.095691,0 days 00:00:31.151182,1.101580118436353,0.5589729959674125,True,4631,,COMPLETE
15,15,0.02103937251984128,2023-12-08 12:29:18.096356,2023-12-08 12:29:34.874752,0 days 00:00:16.778396,0.5367810586669188,0.41579232768436714,True,659,,COMPLETE
16,16,0.019912115575396825,2023-12-08 12:29:34.875351,2023-12-08 12:29:57.958793,0 days 00:00:23.083442,0.19933787000868408,0.21855012115917305,True,1628,,COMPLETE
17,17,0.009688198578042305,2023-12-08 12:29:57.959365,2023-12-08 12:30:25.824313,0 days 00:00:27.864948,0.5219918047454171,0.5872543768608054,True,2664,,COMPLETE
18,18,0.018292514054232788,2023-12-08 12:30:25.824870,2023-12-08 12:30:55.072453,0 days 00:00:29.247583,0.21033202247463323,0.3787236411135255,True,4064,,COMPLETE
19,19,0.021211648478836043,2023-12-08 12:30:55.073182,2023-12-08 12:31:08.802681,0 days 00:00:13.729499,0.026445888618125395,0.17967144781897507,True,490,,COMPLETE
20,20,0.005591183035714298,2023-12-08 12:31:08.803207,2023-12-08 12:31:26.501069,0 days 00:00:17.697862,1.0656524194076706,0.6345240785353038,True,723,,COMPLETE
21,21,0.023097800925925994,2023-12-08 12:31:26.501661,2023-12-08 12:31:33.018117,0 days 00:00:06.516456,0.04884370963558481,0.4881046159027765,True,78,,COMPLETE
22,22,0.023522995205026473,2023-12-08 12:31:33.018674,2023-12-08 12:31:41.034083,0 days 00:00:08.015409,0.30767096976146213,0.4642593723745642,True,142,,COMPLETE
23,23,0.018450822585978844,2023-12-08 12:31:41.034719,2023-12-08 12:32:04.879929,0 days 00:00:23.845210,0.33727920516136156,0.4430217419694714,True,1610,,COMPLETE
24,24,0.021282919973545047,2023-12-08 12:32:04.880510,2023-12-08 12:32:20.340884,0 days 00:00:15.460374,0.607668141401521,0.37676277255776774,True,606,,COMPLETE
25,25,0.019556795634920632,2023-12-08 12:32:20.341399,2023-12-08 12:32:42.561126,0 days 00:00:22.219727,0.3978944902876119,0.4345548116570881,True,1230,,COMPLETE
26,26,0.020764860284391562,2023-12-08 12:32:42.561760,2023-12-08 12:32:58.059439,0 days 00:00:15.497679,0.20353213408850496,0.5257517582978706,False,548,,COMPLETE
27,27,0.01861566633597884,2023-12-08 12:32:58.060082,2023-12-08 12:33:22.129570,0 days 00:00:24.069488,0.7693500975742947,0.3217752163606121,True,1839,,COMPLETE
28,28,0.02016769593253967,2023-12-08 12:33:22.130184,2023-12-08 12:33:40.931113,0 days 00:00:18.800929,0.43304192539801856,0.46114270289538706,True,832,,COMPLETE
29,29,0.020914533730158794,2023-12-08 12:33:40.931742,2023-12-08 12:34:09.008522,0 days 00:00:28.076780,0.3340116954195658,0.6443994304566858,False,2799,,COMPLETE
