,number,value,datetime_start,datetime_complete,duration,params_alpha,state
0,0,0.027690567129629726,2023-12-08 20:19:20.131179,2023-12-08 20:19:24.663199,0 days 00:00:04.532020,0.9235388527820005,COMPLETE
1,1,0.027416340112433973,2023-12-08 20:19:24.663813,2023-12-08 20:19:29.036481,0 days 00:00:04.372668,0.13048398749871898,COMPLETE
2,2,0.027979460152116473,2023-12-08 20:19:29.037012,2023-12-08 20:19:33.276596,0 days 00:00:04.239584,0.7817135313142324,COMPLETE
3,3,0.0278115286044974,2023-12-08 20:19:33.277174,2023-12-08 20:19:37.603910,0 days 00:00:04.326736,0.23748702212594783,COMPLETE
4,4,0.0273838004298943,2023-12-08 20:19:37.604541,2023-12-08 20:19:42.248269,0 days 00:00:04.643728,0.11707263005229013,COMPLETE
5,5,0.02821577794312179,2023-12-08 20:19:42.248822,2023-12-08 20:19:46.906405,0 days 00:00:04.657583,0.4901922191372051,COMPLETE
6,6,0.027127186673280502,2023-12-08 20:19:46.907124,2023-12-08 20:19:51.439707,0 days 00:00:04.532583,0.05598178114787364,COMPLETE
7,7,0.027700723379629703,2023-12-08 20:19:51.440301,2023-12-08 20:19:55.815205,0 days 00:00:04.374904,0.96320346021383,COMPLETE
8,8,0.02722188326719587,2023-12-08 20:19:55.815667,2023-12-08 20:20:00.401202,0 days 00:00:04.585535,0.06936634443759737,COMPLETE
9,9,0.027293869874338704,2023-12-08 20:20:00.401777,2023-12-08 20:20:05.109202,0 days 00:00:04.707425,0.07609066404805725,COMPLETE
10,10,0.028228083664021283,2023-12-08 20:20:05.109782,2023-12-08 20:20:09.571628,0 days 00:00:04.461846,0.5142652644312558,COMPLETE
11,11,0.028217142030423397,2023-12-08 20:20:09.572240,2023-12-08 20:20:13.932289,0 days 00:00:04.360049,0.5197415820975725,COMPLETE
12,12,0.028207998511904902,2023-12-08 20:20:13.932899,2023-12-08 20:20:18.472058,0 days 00:00:04.539159,0.5304853676102967,COMPLETE
13,13,0.02821600942460327,2023-12-08 20:20:18.472703,2023-12-08 20:20:22.964158,0 days 00:00:04.491455,0.4899037295718362,COMPLETE
14,14,0.028198123346561,2023-12-08 20:20:22.964709,2023-12-08 20:20:27.467758,0 days 00:00:04.503049,0.639439966793383,COMPLETE
15,15,0.028134974371693194,2023-12-08 20:20:27.468366,2023-12-08 20:20:32.018006,0 days 00:00:04.549640,0.29976207169301217,COMPLETE
16,16,0.028137624007936544,2023-12-08 20:20:32.018543,2023-12-08 20:20:36.577071,0 days 00:00:04.558528,0.3736632839390369,COMPLETE
17,17,0.028081696428571553,2023-12-08 20:20:36.577700,2023-12-08 20:20:40.988828,0 days 00:00:04.411128,0.677830199179218,COMPLETE
18,18,0.028181630291005372,2023-12-08 20:20:40.989405,2023-12-08 20:20:45.626840,0 days 00:00:04.637435,0.4009881719158286,COMPLETE
19,19,0.028188467261904927,2023-12-08 20:20:45.627280,2023-12-08 20:20:50.274535,0 days 00:00:04.647255,0.6017470957403326,COMPLETE
20,20,0.028041364914021216,2023-12-08 20:20:50.275227,2023-12-08 20:20:54.863784,0 days 00:00:04.588557,0.763373328944223,COMPLETE
21,21,0.028227409887566234,2023-12-08 20:20:54.864307,2023-12-08 20:20:59.376510,0 days 00:00:04.512203,0.4909304441839144,COMPLETE
22,22,0.028175119874338694,2023-12-08 20:20:59.377157,2023-12-08 20:21:03.730469,0 days 00:00:04.353312,0.43429621146104996,COMPLETE
23,23,0.02821385168650812,2023-12-08 20:21:03.730930,2023-12-08 20:21:08.207879,0 days 00:00:04.476949,0.5591410951714687,COMPLETE
24,24,0.028220940806878408,2023-12-08 20:21:08.208520,2023-12-08 20:21:12.898126,0 days 00:00:04.689606,0.46031008225577896,COMPLETE
25,25,0.0281072172619048,2023-12-08 20:21:12.898923,2023-12-08 20:21:17.163938,0 days 00:00:04.265015,0.3665516012306106,COMPLETE
26,26,0.028162628141534463,2023-12-08 20:21:17.164549,2023-12-08 20:21:21.581192,0 days 00:00:04.416643,0.437387945755961,COMPLETE
27,27,0.0279904596560847,2023-12-08 20:21:21.581851,2023-12-08 20:21:26.068879,0 days 00:00:04.487028,0.28449690815777173,COMPLETE
28,28,0.02824303075396836,2023-12-08 20:21:26.069388,2023-12-08 20:21:30.610609,0 days 00:00:04.541221,0.4687270710561267,COMPLETE
29,29,0.028200020667989576,2023-12-08 20:21:30.611255,2023-12-08 20:21:35.342301,0 days 00:00:04.731046,0.5895086382111592,COMPLETE
30,30,0.028061813822751434,2023-12-08 20:21:35.342851,2023-12-08 20:21:39.948804,0 days 00:00:04.605953,0.689020160925058,COMPLETE
31,31,0.028235433201058306,2023-12-08 20:21:39.949411,2023-12-08 20:21:44.529551,0 days 00:00:04.580140,0.47254626036409386,COMPLETE
32,32,0.028197449570105965,2023-12-08 20:21:44.530087,2023-12-08 20:21:49.004996,0 days 00:00:04.474909,0.5326552955807864,COMPLETE
33,33,0.028201008597883697,2023-12-08 20:21:49.005658,2023-12-08 20:21:53.259701,0 days 00:00:04.254043,0.4593550558799968,COMPLETE
34,34,0.028247317294973727,2023-12-08 20:21:53.260321,2023-12-08 20:21:57.667823,0 days 00:00:04.407502,0.5829010876144091,COMPLETE
35,35,0.028188190310846715,2023-12-08 20:21:57.668363,2023-12-08 20:22:02.190330,0 days 00:00:04.521967,0.595655168573529,COMPLETE
36,36,0.027850297619047695,2023-12-08 20:22:02.190993,2023-12-08 20:22:06.703095,0 days 00:00:04.512102,0.8611274233182389,COMPLETE
37,37,0.02820638227513245,2023-12-08 20:22:06.703718,2023-12-08 20:22:11.182934,0 days 00:00:04.479216,0.5525332367325276,COMPLETE
38,38,0.02810552248677257,2023-12-08 20:22:11.183488,2023-12-08 20:22:15.820063,0 days 00:00:04.636575,0.3413317418630035,COMPLETE
39,39,0.02816285548941807,2023-12-08 20:22:15.820620,2023-12-08 20:22:20.445067,0 days 00:00:04.624447,0.39889264608059755,COMPLETE
40,40,0.0278081845238096,2023-12-08 20:22:20.445826,2023-12-08 20:22:25.024314,0 days 00:00:04.578488,0.22525117876543402,COMPLETE
41,41,0.02822975777116413,2023-12-08 20:22:25.024924,2023-12-08 20:22:29.585139,0 days 00:00:04.560215,0.47758917103534193,COMPLETE
42,42,0.0282358589616403,2023-12-08 20:22:29.585683,2023-12-08 20:22:34.162510,0 days 00:00:04.576827,0.4967636535917747,COMPLETE
43,43,0.028175872189153506,2023-12-08 20:22:34.163078,2023-12-08 20:22:38.752681,0 days 00:00:04.589603,0.4338966643034517,COMPLETE
44,44,0.02823235780423291,2023-12-08 20:22:38.753271,2023-12-08 20:22:43.242149,0 days 00:00:04.488878,0.5059464124057562,COMPLETE
45,45,0.02823084490740758,2023-12-08 20:22:43.242713,2023-12-08 20:22:47.645177,0 days 00:00:04.402464,0.5648902214479221,COMPLETE
46,46,0.02823157242063503,2023-12-08 20:22:47.645762,2023-12-08 20:22:52.131377,0 days 00:00:04.485615,0.5097302981741056,COMPLETE
47,47,0.028202781911375818,2023-12-08 20:22:52.131918,2023-12-08 20:22:56.642939,0 days 00:00:04.511021,0.6405020694929803,COMPLETE
48,48,0.028228401951058302,2023-12-08 20:22:56.643501,2023-12-08 20:23:01.278556,0 days 00:00:04.635055,0.5051144952988831,COMPLETE
49,49,0.028224272486772575,2023-12-08 20:23:01.279044,2023-12-08 20:23:05.901035,0 days 00:00:04.621991,0.4173117789194597,COMPLETE
50,50,0.028250276951058306,2023-12-08 20:23:05.901584,2023-12-08 20:23:10.608298,0 days 00:00:04.706714,0.4617199132501507,COMPLETE
51,51,0.02824633349867736,2023-12-08 20:23:10.608797,2023-12-08 20:23:15.123487,0 days 00:00:04.514690,0.4694968935597663,COMPLETE
52,52,0.02817711226851861,2023-12-08 20:23:15.124020,2023-12-08 20:23:19.728871,0 days 00:00:04.604851,0.4509841694209043,COMPLETE
53,53,0.02819823908730175,2023-12-08 20:23:19.729492,2023-12-08 20:23:24.229118,0 days 00:00:04.499626,0.5414534994383213,COMPLETE
54,54,0.028236892361111224,2023-12-08 20:23:24.229817,2023-12-08 20:23:28.802655,0 days 00:00:04.572838,0.47656552421023135,COMPLETE
55,55,0.02822775297619057,2023-12-08 20:23:28.803220,2023-12-08 20:23:33.296485,0 days 00:00:04.493265,0.4080790742466055,COMPLETE
56,56,0.02814614748677251,2023-12-08 20:23:33.297034,2023-12-08 20:23:37.839035,0 days 00:00:04.542001,0.3782742216227968,COMPLETE
57,57,0.02823515625000011,2023-12-08 20:23:37.839576,2023-12-08 20:23:42.277771,0 days 00:00:04.438195,0.47641258036081946,COMPLETE
58,58,0.02823938905423299,2023-12-08 20:23:42.278440,2023-12-08 20:23:46.865154,0 days 00:00:04.586714,0.5786580390812998,COMPLETE
59,59,0.028201996527777964,2023-12-08 20:23:46.865679,2023-12-08 20:23:51.415026,0 days 00:00:04.549347,0.6229653948627971,COMPLETE
60,60,0.028238839285714447,2023-12-08 20:23:51.415631,2023-12-08 20:23:55.944818,0 days 00:00:04.529187,0.5708983689503555,COMPLETE
61,61,0.028228013392857316,2023-12-08 20:23:55.945386,2023-12-08 20:24:00.486684,0 days 00:00:04.541298,0.5673041973376641,COMPLETE
62,62,0.02823162615740758,2023-12-08 20:24:00.487292,2023-12-08 20:24:05.003153,0 days 00:00:04.515861,0.5654192421787803,COMPLETE
63,63,0.028195163690476335,2023-12-08 20:24:05.003702,2023-12-08 20:24:09.614858,0 days 00:00:04.611156,0.5315920160490394,COMPLETE
64,64,0.028124284887566273,2023-12-08 20:24:09.615412,2023-12-08 20:24:14.263353,0 days 00:00:04.647941,0.6627871067831651,COMPLETE
65,65,0.028176483961640367,2023-12-08 20:24:14.264089,2023-12-08 20:24:18.834064,0 days 00:00:04.569975,0.593349138489842,COMPLETE
66,66,0.028182196593915437,2023-12-08 20:24:18.834643,2023-12-08 20:24:23.262790,0 days 00:00:04.428147,0.4540234885778791,COMPLETE
67,67,0.028200806051587483,2023-12-08 20:24:23.263435,2023-12-08 20:24:27.786706,0 days 00:00:04.523271,0.6242848409158795,COMPLETE
68,68,0.028104137731481574,2023-12-08 20:24:27.787234,2023-12-08 20:24:32.377669,0 days 00:00:04.590435,0.7073471296525157,COMPLETE
69,69,0.02819610201719592,2023-12-08 20:24:32.378217,2023-12-08 20:24:36.972637,0 days 00:00:04.594420,0.5333107781076104,COMPLETE
70,70,0.028225384424603348,2023-12-08 20:24:36.973208,2023-12-08 20:24:41.648106,0 days 00:00:04.674898,0.5849448838822838,COMPLETE
71,71,0.02821532738095248,2023-12-08 20:24:41.648655,2023-12-08 20:24:46.275993,0 days 00:00:04.627338,0.486945827345849,COMPLETE
72,72,0.028237838955026545,2023-12-08 20:24:46.276537,2023-12-08 20:24:50.777265,0 days 00:00:04.500728,0.49689192787609765,COMPLETE
73,73,0.028205708498677384,2023-12-08 20:24:50.777882,2023-12-08 20:24:55.254588,0 days 00:00:04.476706,0.5237165080161886,COMPLETE
74,74,0.028169729662698484,2023-12-08 20:24:55.255116,2023-12-08 20:24:59.790945,0 days 00:00:04.535829,0.43574618248920843,COMPLETE
75,75,0.028197854662698595,2023-12-08 20:24:59.791480,2023-12-08 20:25:04.317039,0 days 00:00:04.525559,0.5488692106244516,COMPLETE
76,76,0.02818137400793661,2023-12-08 20:25:04.317730,2023-12-08 20:25:08.947934,0 days 00:00:04.630204,0.4574745094480152,COMPLETE
77,77,0.028224429563492255,2023-12-08 20:25:08.948506,2023-12-08 20:25:13.531074,0 days 00:00:04.582568,0.6083402800206413,COMPLETE
78,78,0.02822000248015882,2023-12-08 20:25:13.531682,2023-12-08 20:25:17.853355,0 days 00:00:04.321673,0.4905148744754551,COMPLETE
79,79,0.028245109953703888,2023-12-08 20:25:17.854037,2023-12-08 20:25:22.226400,0 days 00:00:04.372363,0.5800060671307495,COMPLETE
80,80,0.028249036871693292,2023-12-08 20:25:22.226964,2023-12-08 20:25:26.815583,0 days 00:00:04.588619,0.5724617554756347,COMPLETE
81,81,0.02824315476190495,2023-12-08 20:25:26.816291,2023-12-08 20:25:31.397989,0 days 00:00:04.581698,0.5796892481521797,COMPLETE
82,82,0.028225239748677425,2023-12-08 20:25:31.398522,2023-12-08 20:25:35.954991,0 days 00:00:04.556469,0.5861452948779664,COMPLETE
83,83,0.028186156580687977,2023-12-08 20:25:35.955735,2023-12-08 20:25:40.594014,0 days 00:00:04.638279,0.6448558142113493,COMPLETE
84,84,0.028198916997354693,2023-12-08 20:25:40.594556,2023-12-08 20:25:45.091351,0 days 00:00:04.496795,0.6182652308893986,COMPLETE
85,85,0.028228025793650958,2023-12-08 20:25:45.091844,2023-12-08 20:25:49.677669,0 days 00:00:04.585825,0.5668756672993133,COMPLETE
86,86,0.028220845734127108,2023-12-08 20:25:49.678234,2023-12-08 20:25:54.269732,0 days 00:00:04.591498,0.5199618148634534,COMPLETE
87,87,0.028194729662698582,2023-12-08 20:25:54.270327,2023-12-08 20:25:58.991378,0 days 00:00:04.721051,0.5458888572483191,COMPLETE
88,88,0.0281402323082012,2023-12-08 20:25:58.991914,2023-12-08 20:26:03.579064,0 days 00:00:04.587150,0.6567999740215315,COMPLETE
89,89,0.028206981646825575,2023-12-08 20:26:03.579671,2023-12-08 20:26:08.146431,0 days 00:00:04.566760,0.6056376615239878,COMPLETE
90,90,0.02824008349867744,2023-12-08 20:26:08.146966,2023-12-08 20:26:12.756519,0 days 00:00:04.609553,0.5766697525084258,COMPLETE
91,91,0.028242708333333515,2023-12-08 20:26:12.757126,2023-12-08 20:26:17.294763,0 days 00:00:04.537637,0.5755575995798686,COMPLETE
92,92,0.028185176917989593,2023-12-08 20:26:17.295307,2023-12-08 20:26:21.805049,0 days 00:00:04.509742,0.6275764008996341,COMPLETE
93,93,0.028224714781746152,2023-12-08 20:26:21.805615,2023-12-08 20:26:26.380741,0 days 00:00:04.575126,0.515429201186498,COMPLETE
94,94,0.028202794312169478,2023-12-08 20:26:26.381294,2023-12-08 20:26:30.774964,0 days 00:00:04.393670,0.5881073702988608,COMPLETE
95,95,0.02820655175264568,2023-12-08 20:26:30.775551,2023-12-08 20:26:35.260082,0 days 00:00:04.484531,0.54208510737956,COMPLETE
96,96,0.02823901289682558,2023-12-08 20:26:35.260650,2023-12-08 20:26:39.833386,0 days 00:00:04.572736,0.5751620605648982,COMPLETE
97,97,0.02822435929232824,2023-12-08 20:26:39.833979,2023-12-08 20:26:44.450584,0 days 00:00:04.616605,0.6119246511265104,COMPLETE
98,98,0.028216402116402285,2023-12-08 20:26:44.451202,2023-12-08 20:26:49.102423,0 days 00:00:04.651221,0.5543672083999966,COMPLETE
99,99,0.02807715773809536,2023-12-08 20:26:49.102987,2023-12-08 20:26:53.604674,0 days 00:00:04.501687,0.6800758658008879,COMPLETE
