,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_normalize_similarity,params_topK,state
0,0,0.016201074735449694,2023-12-08 12:03:07.703581,2023-12-08 12:03:33.214460,0 days 00:00:25.510879,0.7499886018274173,0.05608472945087439,False,2638,COMPLETE
1,1,0.0007154927248677241,2023-12-08 12:03:33.215039,2023-12-08 12:03:56.425084,0 days 00:00:23.210045,0.716390398014574,1.5508807477653135,True,1525,COMPLETE
2,2,0.0005452050264550258,2023-12-08 12:03:56.425667,2023-12-08 12:04:22.473995,0 days 00:00:26.048328,0.37235574934688165,1.7068794412683779,True,2272,COMPLETE
3,3,0.000833329199735448,2023-12-08 12:04:22.474585,2023-12-08 12:04:51.698861,0 days 00:00:29.224276,1.7477613554770668,1.2706319657940892,False,4386,COMPLETE
4,4,0.018614852017195763,2023-12-08 12:04:51.699441,2023-12-08 12:05:17.800555,0 days 00:00:26.101114,0.080886447569537,0.3666860704394328,True,2837,COMPLETE
5,5,0.0016317212301587287,2023-12-08 12:05:17.801094,2023-12-08 12:05:45.693990,0 days 00:00:27.892896,0.4536331637827633,1.0108091500203715,True,3860,COMPLETE
6,6,0.0006452050264550256,2023-12-08 12:05:45.694881,2023-12-08 12:06:14.969892,0 days 00:00:29.275011,1.7255323588977243,1.8741822624242959,False,5482,COMPLETE
7,7,0.02050725033068785,2023-12-08 12:06:14.970517,2023-12-08 12:06:43.588139,0 days 00:00:28.617622,0.11041465178078225,0.6336790742548517,False,4772,COMPLETE
8,8,0.0048981646825396906,2023-12-08 12:06:43.588874,2023-12-08 12:07:12.084845,0 days 00:00:28.495971,0.19280108889225112,0.6964724413002066,True,3991,COMPLETE
9,9,0.0004760623346560843,2023-12-08 12:07:12.085398,2023-12-08 12:07:37.938496,0 days 00:00:25.853098,0.08337612085877155,1.6630522444919542,True,2267,COMPLETE
10,10,0.001818204365079367,2023-12-08 12:07:37.939071,2023-12-08 12:08:08.797066,0 days 00:00:30.857995,1.1647783120472701,0.8125354129558914,False,8554,COMPLETE
11,11,0.01583000992063488,2023-12-08 12:08:08.797635,2023-12-08 12:08:40.050015,0 days 00:00:31.252380,0.07180228821109037,0.2846412178060831,False,6622,COMPLETE
12,12,0.02169349371693125,2023-12-08 12:08:40.050605,2023-12-08 12:08:51.064106,0 days 00:00:11.013501,0.055172004729902704,0.46526779893746006,True,280,COMPLETE
13,13,0.01900957341269843,2023-12-08 12:08:51.064661,2023-12-08 12:08:56.678789,0 days 00:00:05.614128,0.457185612273001,0.5718315924275743,False,32,COMPLETE
14,14,0.0016703621031746016,2023-12-08 12:08:56.679554,2023-12-08 12:09:27.848806,0 days 00:00:31.169252,0.40255633959103193,0.992953989193168,True,9735,COMPLETE
15,15,0.01970423280423281,2023-12-08 12:09:27.849392,2023-12-08 12:09:58.899147,0 days 00:00:31.049755,0.06739002435158978,0.4951817325521911,False,6900,COMPLETE
16,16,0.02172038690476189,2023-12-08 12:09:58.899753,2023-12-08 12:10:07.821742,0 days 00:00:08.921989,1.0480572249321616,0.011095736072588958,True,229,COMPLETE
17,17,0.02152354497354499,2023-12-08 12:10:07.822379,2023-12-08 12:10:18.780260,0 days 00:00:10.957881,1.0558839083408038,0.02448094599389704,True,335,COMPLETE
18,18,0.01397510333994704,2023-12-08 12:10:18.780829,2023-12-08 12:10:40.863328,0 days 00:00:22.082499,1.2755015031251333,0.23879132398999547,True,1383,COMPLETE
19,19,0.0137905299272486,2023-12-08 12:10:40.863898,2023-12-08 12:11:01.518756,0 days 00:00:20.654858,1.374542805572326,0.18966644570103564,True,1174,COMPLETE
20,20,0.017815033895502676,2023-12-08 12:11:01.519371,2023-12-08 12:11:19.144609,0 days 00:00:17.625238,0.8693755918228914,0.43168323939454756,True,727,COMPLETE
21,21,0.02220666335978837,2023-12-08 12:11:19.145334,2023-12-08 12:11:26.720635,0 days 00:00:07.575301,1.0324667655648954,0.09141134839128982,True,123,COMPLETE
22,22,0.02329633763227518,2023-12-08 12:11:26.721261,2023-12-08 12:11:34.071049,0 days 00:00:07.349788,0.9407631491324009,0.008610469961762414,True,135,COMPLETE
23,23,0.01827087053571426,2023-12-08 12:11:34.071684,2023-12-08 12:11:57.958826,0 days 00:00:23.887142,0.9455664853996048,0.042447781383869766,True,1976,COMPLETE
24,24,0.012621006944444388,2023-12-08 12:11:57.959461,2023-12-08 12:12:26.061459,0 days 00:00:28.101998,1.4380835445791247,0.1548435291762402,True,3444,COMPLETE
25,25,0.016304885912698377,2023-12-08 12:12:26.062135,2023-12-08 12:12:45.337966,0 days 00:00:19.275831,1.1003322552179509,0.29847593882146434,True,970,COMPLETE
26,26,0.024140174437830737,2023-12-08 12:12:45.338571,2023-12-08 12:12:51.275852,0 days 00:00:05.937281,0.8604387480969916,0.1537736651871471,True,46,COMPLETE
27,27,0.01919145998677254,2023-12-08 12:12:51.276452,2023-12-08 12:13:18.574936,0 days 00:00:27.298484,0.6496009742014153,0.21475086818679828,True,3002,COMPLETE
28,28,0.015766588128306846,2023-12-08 12:13:18.575538,2023-12-08 12:13:42.552323,0 days 00:00:23.976785,0.8918734377802329,0.37580887467412555,True,1792,COMPLETE
29,29,0.016219680059523716,2023-12-08 12:13:42.552935,2023-12-08 12:14:12.477256,0 days 00:00:29.924321,0.8075064844089727,0.13311887292990737,True,5623,COMPLETE
