,number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,params_topK,system_attrs_fixed_params,state
0,0,0.030350606862912768,2023-12-08 21:50:17.059148,2023-12-08 21:55:03.404448,0 days 00:04:46.345300,0.0012812054186341782,0.03659854387723134,6658,"{'topK': 6658, 'l1_ratio': 0.03659854387723134, 'alpha': 0.0012812054186341782}",COMPLETE
1,1,0.02906733774285613,2023-12-08 21:55:03.405674,2023-12-08 21:58:20.704248,0 days 00:03:17.298574,0.006938764253189523,0.013354560969564262,3514,,COMPLETE
2,2,0.023889790405334496,2023-12-08 21:58:20.704962,2023-12-08 21:59:40.009431,0 days 00:01:19.304469,0.0142125315357285,0.08132070408882985,5332,,COMPLETE
3,3,0.025649135335016216,2023-12-08 21:59:40.009972,2023-12-08 22:01:04.254311,0 days 00:01:24.244339,0.009843294472264216,0.0749556048097358,4398,,COMPLETE
4,4,0.027257832121821958,2023-12-08 22:01:04.254934,2023-12-08 22:02:35.912358,0 days 00:01:31.657424,0.005197731341448514,0.09440942428811702,3152,,COMPLETE
5,5,0.024733443729557738,2023-12-08 22:02:35.912914,2023-12-08 22:03:56.644986,0 days 00:01:20.732072,0.010941054775456953,0.08764339451681392,2454,,COMPLETE
6,6,0.02740422969373767,2023-12-08 22:03:56.645779,2023-12-08 22:05:27.720070,0 days 00:01:31.074291,0.004984415540150881,0.09598938688094757,1758,,COMPLETE
7,7,0.025963191241688693,2023-12-08 22:05:27.720604,2023-12-08 22:06:53.092926,0 days 00:01:25.372322,0.010385780988454885,0.06216863114894521,6341,,COMPLETE
8,8,0.025097154213086868,2023-12-08 22:06:53.093480,2023-12-08 22:08:16.214312,0 days 00:01:23.120832,0.012706838777620846,0.0654772951938739,6675,,COMPLETE
9,9,0.02487350696223754,2023-12-08 22:08:16.214986,2023-12-08 22:09:38.251527,0 days 00:01:22.036541,0.013880115384293018,0.06250181690989377,4958,,COMPLETE
10,10,0.028569099653944354,2023-12-08 22:09:38.252053,2023-12-08 22:14:36.091313,0 days 00:04:57.839260,0.0005364193438929381,0.03805315309816465,8992,,COMPLETE
11,11,0.027367556162892975,2023-12-08 22:14:36.091892,2023-12-08 22:19:31.055000,0 days 00:04:54.963108,0.000586462596996724,0.010525401924705616,457,,COMPLETE
12,12,0.028925273776310278,2023-12-08 22:19:31.055645,2023-12-08 22:22:33.995916,0 days 00:03:02.940271,0.00616091476448747,0.02406984455932995,7968,,COMPLETE
13,13,0.030078400298607737,2023-12-08 22:22:33.996536,2023-12-08 22:25:55.789863,0 days 00:03:21.793327,0.002584487088098839,0.04272987115688922,9888,,COMPLETE
14,14,0.029846556365338995,2023-12-08 22:25:55.790529,2023-12-08 22:29:06.654577,0 days 00:03:10.864048,0.0030415521873475,0.04608834237509274,9891,,COMPLETE
15,15,0.02998714548261197,2023-12-08 22:29:06.655134,2023-12-08 22:32:20.560108,0 days 00:03:13.904974,0.0029717833320338826,0.04061550347212515,8237,,COMPLETE
16,16,0.029844729608330886,2023-12-08 22:32:20.560659,2023-12-08 22:35:25.983129,0 days 00:03:05.422470,0.002866305328998001,0.05141621295159214,6743,,COMPLETE
17,17,0.02758984718505456,2023-12-08 22:35:25.983768,2023-12-08 22:37:13.550176,0 days 00:01:47.566408,0.008650173085638986,0.03416799917683733,9765,,COMPLETE
18,18,0.030364252184200514,2023-12-08 22:37:13.551044,2023-12-08 22:41:24.250874,0 days 00:04:10.699830,0.0018328668672485519,0.029537380631026046,7765,,COMPLETE
19,19,0.029471189432329545,2023-12-08 22:41:24.251443,2023-12-08 22:44:26.983038,0 days 00:03:02.731595,0.004415254405983738,0.02945100973806623,7753,,COMPLETE
20,20,0.03018204701171038,2023-12-08 22:44:26.983666,2023-12-08 22:48:51.438175,0 days 00:04:24.454509,0.0014224119992607095,0.023843980200383745,5870,,COMPLETE
21,21,0.030288129400823864,2023-12-08 22:48:51.438832,2023-12-08 22:53:13.539644,0 days 00:04:22.100812,0.0015273482639684092,0.024161637287600665,5845,,COMPLETE
22,22,0.030332232534305215,2023-12-08 22:53:13.540273,2023-12-08 22:57:27.725334,0 days 00:04:14.185061,0.0017685828320574315,0.029209768256168757,7372,,COMPLETE
23,23,0.02957206437776406,2023-12-08 22:57:27.725936,2023-12-08 23:00:31.397117,0 days 00:03:03.671181,0.004012043237783244,0.032755713421323336,7428,,COMPLETE
24,24,0.030236663883037182,2023-12-08 23:00:31.397705,2023-12-08 23:03:43.852349,0 days 00:03:12.454644,0.0019212278832024285,0.047466078762258404,8791,,COMPLETE
25,25,0.029603550235027084,2023-12-08 23:03:43.852959,2023-12-08 23:06:45.690035,0 days 00:03:01.837076,0.003647018039192738,0.03828745720034756,7117,,COMPLETE
26,26,0.030233540207633646,2023-12-08 23:06:45.690728,2023-12-08 23:09:56.827835,0 days 00:03:11.137107,0.0019488600437175434,0.05279739268756235,8688,,COMPLETE
27,27,0.029297113723927435,2023-12-08 23:09:56.828473,2023-12-08 23:13:02.581747,0 days 00:03:05.753274,0.00576826841834545,0.01761820350671233,4725,,COMPLETE
28,28,0.029664857307344555,2023-12-08 23:13:02.582253,2023-12-08 23:16:07.851334,0 days 00:03:05.269081,0.004013593717218263,0.03044263595896711,7358,,COMPLETE
29,29,0.02859106423225602,2023-12-08 23:16:07.852060,2023-12-08 23:20:48.436045,0 days 00:04:40.583985,0.0006822355157677115,0.02068675944545489,3991,,COMPLETE
